Start Time, Mon Oct 15 15:51:38 GMT+0100 2018
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 7200
Real Time (s), 7200.749849
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
640, 640, 97
641, 641, 80
642, 642, 68
643, 643, 68
644, 644, 84
645, 645, 80
646, 646, 60
647, 647, 64
648, 648, 70
649, 649, 58
650, 650, 62
651, 651, 75
652, 652, 71
653, 653, 62
654, 654, 58
655, 655, 66
656, 656, 50
657, 657, 64
658, 658, 69
659, 659, 73
660, 660, 59
661, 661, 49
662, 662, 56
663, 663, 51
664, 664, 76
665, 665, 65
666, 666, 72
667, 667, 78
668, 668, 70
669, 669, 75
670, 670, 65
671, 671, 69
672, 672, 53
673, 673, 69
674, 674, 68
675, 675, 53
676, 676, 60
677, 677, 65
678, 678, 53
679, 679, 51
680, 680, 71
681, 681, 71
682, 682, 57
683, 683, 61
684, 684, 68
685, 685, 72
686, 686, 60
687, 687, 69
688, 688, 65
689, 689, 76
690, 690, 73
691, 691, 63
692, 692, 67
693, 693, 62
694, 694, 57
695, 695, 72
696, 696, 65
697, 697, 57
698, 698, 62
699, 699, 68
700, 700, 57
701, 701, 56
702, 702, 67
703, 703, 59
704, 704, 62
705, 705, 64
706, 706, 66
707, 707, 61
708, 708, 59
709, 709, 66
710, 710, 67
711, 711, 71
712, 712, 57
713, 713, 63
714, 714, 57
715, 715, 74
716, 716, 48
717, 717, 67
718, 718, 57
719, 719, 60
720, 720, 61
721, 721, 73
722, 722, 72
723, 723, 74
724, 724, 60
725, 725, 65
726, 726, 69
727, 727, 70
728, 728, 57
729, 729, 75
730, 730, 70
731, 731, 72
732, 732, 66
733, 733, 63
734, 734, 53
735, 735, 66
736, 736, 57
737, 737, 70
738, 738, 56
739, 739, 64
740, 740, 54
741, 741, 59
742, 742, 50
743, 743, 54
744, 744, 43
745, 745, 51
746, 746, 57
747, 747, 55
748, 748, 58
749, 749, 43
750, 750, 53
751, 751, 68
