Start Time, Tue Oct 9 12:08:49 GMT+0100 2018
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 7200
Real Time (s), 7201.837072
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
648, 648, 152
649, 649, 147
650, 650, 148
651, 651, 184
652, 652, 148
653, 653, 150
654, 654, 162
655, 655, 142
656, 656, 169
657, 657, 168
658, 658, 173
659, 659, 151
660, 660, 152
661, 661, 152
662, 662, 151
663, 663, 165
664, 664, 140
665, 665, 161
666, 666, 183
667, 667, 151
668, 668, 164
669, 669, 145
670, 670, 142
671, 671, 166
672, 672, 152
673, 673, 146
674, 674, 161
675, 675, 153
676, 676, 181
677, 677, 136
678, 678, 134
679, 679, 152
680, 680, 140
681, 681, 132
682, 682, 148
683, 683, 163
684, 684, 151
685, 685, 158
686, 686, 176
687, 687, 151
688, 688, 164
689, 689, 165
690, 690, 173
691, 691, 143
692, 692, 196
693, 693, 157
694, 694, 154
695, 695, 128
696, 696, 154
697, 697, 137
698, 698, 151
699, 699, 142
700, 700, 156
701, 701, 171
702, 702, 173
703, 703, 167
704, 704, 144
705, 705, 153
706, 706, 180
707, 707, 155
708, 708, 150
709, 709, 146
710, 710, 157
711, 711, 157
712, 712, 161
713, 713, 150
714, 714, 169
715, 715, 164
716, 716, 164
717, 717, 154
718, 718, 147
719, 719, 162
720, 720, 143
721, 721, 154
722, 722, 143
723, 723, 159
724, 724, 142
725, 725, 151
726, 726, 145
727, 727, 156
728, 728, 153
729, 729, 155
730, 730, 149
731, 731, 151
732, 732, 170
733, 733, 143
734, 734, 152
735, 735, 160
736, 736, 154
737, 737, 175
738, 738, 141
739, 739, 181
740, 740, 146
741, 741, 163
742, 742, 176
743, 743, 152
744, 744, 149
745, 745, 126
746, 746, 166
747, 747, 158
748, 748, 172
749, 749, 144
750, 750, 142
751, 751, 154
752, 752, 171
753, 753, 152
754, 754, 158
755, 755, 178
756, 756, 157
757, 757, 176
758, 758, 148
759, 759, 179
760, 760, 165
761, 761, 157
762, 762, 133
763, 763, 183
764, 764, 147
765, 765, 160
766, 766, 135
767, 767, 158
768, 768, 163
769, 769, 150
770, 770, 143
771, 771, 128
772, 772, 121
773, 773, 145
774, 774, 150
775, 775, 147
776, 776, 172
777, 777, 179
778, 778, 171
779, 779, 153
780, 780, 165
781, 781, 165
782, 782, 175
783, 783, 170
784, 784, 156
785, 785, 144
786, 786, 121
787, 787, 153
788, 788, 141
789, 789, 173
790, 790, 155
791, 791, 179
792, 792, 145
793, 793, 140
794, 794, 142
795, 795, 164
796, 796, 154
797, 797, 167
798, 798, 147
799, 799, 158
800, 800, 148
801, 801, 163
802, 802, 182
803, 803, 143
804, 804, 156
805, 805, 154
806, 806, 155
807, 807, 166
808, 808, 160
809, 809, 176
810, 810, 164
811, 811, 167
812, 812, 143
813, 813, 175
814, 814, 165
815, 815, 145
816, 816, 167
817, 817, 155
818, 818, 142
819, 819, 156
820, 820, 133
821, 821, 165
822, 822, 163
823, 823, 134
824, 824, 149
825, 825, 168
826, 826, 146
827, 827, 154
828, 828, 155
829, 829, 170
830, 830, 177
831, 831, 153
832, 832, 133
833, 833, 161
834, 834, 157
835, 835, 172
836, 836, 165
837, 837, 160
838, 838, 144
839, 839, 153
840, 840, 155
841, 841, 174
842, 842, 180
843, 843, 187
844, 844, 166
845, 845, 157
846, 846, 177
847, 847, 153
848, 848, 173
849, 849, 177
850, 850, 169
851, 851, 164
852, 852, 176
853, 853, 153
854, 854, 161
855, 855, 162
856, 856, 165
857, 857, 175
858, 858, 162
859, 859, 169
860, 860, 173
861, 861, 162
862, 862, 156
863, 863, 168
864, 864, 152
865, 865, 178
866, 866, 170
867, 867, 165
868, 868, 158
869, 869, 169
870, 870, 153
871, 871, 196
872, 872, 160
873, 873, 179
874, 874, 159
875, 875, 175
876, 876, 166
877, 877, 188
878, 878, 165
879, 879, 156
880, 880, 177
881, 881, 171
882, 882, 174
883, 883, 178
884, 884, 187
885, 885, 162
886, 886, 160
887, 887, 158
888, 888, 190
889, 889, 165
890, 890, 182
891, 891, 187
892, 892, 163
893, 893, 179
894, 894, 201
895, 895, 183
896, 896, 165
897, 897, 182
898, 898, 193
899, 899, 205
900, 900, 163
901, 901, 172
902, 902, 170
903, 903, 174
904, 904, 168
905, 905, 168
906, 906, 165
907, 907, 167
908, 908, 160
909, 909, 179
910, 910, 155
911, 911, 153
912, 912, 193
913, 913, 152
914, 914, 180
915, 915, 178
