Start Time, Thu Oct 4 10:19:11 GMT+0100 2018
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 7200
Real Time (s), 7205.128839
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
850, 850, 9
851, 851, 6
852, 852, 8
853, 853, 9
854, 854, 6
855, 855, 8
856, 856, 4
857, 857, 5
858, 858, 6
859, 859, 8
860, 860, 11
861, 861, 6
862, 862, 6
863, 863, 4
864, 864, 6
865, 865, 8
866, 866, 7
867, 867, 7
868, 868, 7
869, 869, 3
870, 870, 4
871, 871, 10
872, 872, 6
873, 873, 5
874, 874, 9
875, 875, 6
876, 876, 3
877, 877, 8
878, 878, 8
879, 879, 7
880, 880, 4
881, 881, 6
882, 882, 5
883, 883, 10
884, 884, 6
885, 885, 4
886, 886, 8
887, 887, 4
888, 888, 6
889, 889, 3
890, 890, 7
891, 891, 8
892, 892, 5
893, 893, 5
894, 894, 8
895, 895, 8
896, 896, 2
897, 897, 5
898, 898, 5
899, 899, 5
900, 900, 9
901, 901, 6
902, 902, 6
903, 903, 2
904, 904, 14
905, 905, 6
906, 906, 4
907, 907, 7
908, 908, 7
909, 909, 11
910, 910, 5
911, 911, 7
912, 912, 6
913, 913, 7
914, 914, 6
915, 915, 5
916, 916, 4
917, 917, 6
918, 918, 5
919, 919, 8
920, 920, 6
921, 921, 10
922, 922, 5
923, 923, 3
924, 924, 5
925, 925, 2
926, 926, 9
927, 927, 6
928, 928, 6
929, 929, 5
930, 930, 5
931, 931, 1
932, 932, 11
933, 933, 2
934, 934, 6
935, 935, 7
936, 936, 7
937, 937, 4
938, 938, 8
939, 939, 2
940, 940, 6
941, 941, 6
942, 942, 4
943, 943, 9
944, 944, 10
945, 945, 8
946, 946, 5
947, 947, 9
948, 948, 7
949, 949, 8
950, 950, 7
951, 951, 4
952, 952, 10
953, 953, 15
954, 954, 7
955, 955, 3
956, 956, 7
957, 957, 3
958, 958, 3
959, 959, 5
960, 960, 11
961, 961, 11
962, 962, 3
963, 963, 3
964, 964, 2
965, 965, 6
966, 966, 7
967, 967, 5
968, 968, 8
969, 969, 3
970, 970, 6
971, 971, 3
972, 972, 4
973, 973, 6
974, 974, 4
975, 975, 5
976, 976, 5
977, 977, 7
978, 978, 2
979, 979, 7
980, 980, 7
981, 981, 2
982, 982, 7
983, 983, 4
984, 984, 10
985, 985, 6
986, 986, 4
987, 987, 5
988, 988, 4
989, 989, 6
990, 990, 3
991, 991, 6
992, 992, 3
993, 993, 5
994, 994, 6
995, 995, 8
996, 996, 4
997, 997, 6
998, 998, 2
999, 999, 6
1000, 1000, 3
1001, 1001, 3
1002, 1002, 7
1003, 1003, 4
1004, 1004, 4
1005, 1005, 8
1006, 1006, 4
1007, 1007, 5
1008, 1008, 7
1009, 1009, 1
1010, 1010, 5
1011, 1011, 4
1012, 1012, 8
1013, 1013, 1
1014, 1014, 7
1015, 1015, 9
1016, 1016, 4
1017, 1017, 8
1018, 1018, 8
1019, 1019, 7
1020, 1020, 11
1021, 1021, 5
1022, 1022, 9
1023, 1023, 7
1024, 1024, 4
1025, 1025, 5
1026, 1026, 3
1027, 1027, 5
1028, 1028, 3
1029, 1029, 3
1030, 1030, 2
1031, 1031, 4
1032, 1032, 7
1033, 1033, 4
1034, 1034, 6
1035, 1035, 9
1036, 1036, 4
1037, 1037, 3
1038, 1038, 2
1039, 1039, 5
1040, 1040, 5
1041, 1041, 4
1042, 1042, 5
1043, 1043, 5
1044, 1044, 1
1045, 1045, 4
1046, 1046, 7
1047, 1047, 4
1048, 1048, 8
1049, 1049, 3
1050, 1050, 5
1051, 1051, 7
1052, 1052, 4
1053, 1053, 6
1054, 1054, 5
1055, 1055, 3
1056, 1056, 3
1057, 1057, 5
1058, 1058, 4
1059, 1059, 2
1060, 1060, 6
1061, 1061, 3
1062, 1062, 1
1063, 1063, 6
1064, 1064, 7
1065, 1065, 3
1066, 1066, 6
1067, 1067, 7
1068, 1068, 1
1069, 1069, 9
1070, 1070, 4
1071, 1071, 2
1072, 1072, 8
1073, 1073, 6
1074, 1074, 1
1075, 1075, 9
1076, 1076, 7
1077, 1077, 4
1078, 1078, 6
1079, 1079, 8
1080, 1080, 10
1081, 1081, 6
1082, 1082, 5
1083, 1083, 3
1084, 1084, 6
1085, 1085, 2
1086, 1086, 3
1087, 1087, 5
1088, 1088, 4
1089, 1089, 6
1090, 1090, 6
1091, 1091, 6
1092, 1092, 6
1093, 1093, 7
1094, 1094, 3
1095, 1095, 7
1096, 1096, 2
1097, 1097, 0
1098, 1098, 3
1099, 1099, 4
1100, 1100, 6
1101, 1101, 1
1102, 1102, 2
1103, 1103, 1
1104, 1104, 4
1105, 1105, 1
